pi-val,count
3.1410090556274257,28
3.141025641025641,128
3.1410419313850064,31
3.1410526315789475,73
3.1410658307210033,38
3.1410736579275906,28
3.141078838174274,24
3.1411042944785277,269
3.1411290322580645,28
3.141133896260555,35
3.141141141141141,35
3.1411530815109345,48
3.1411625148279954,36
3.1411764705882352,97
3.1411901983663943,31
3.141199226305609,46
3.1412103746397695,37
3.1412169919632604,30
3.1412429378531073,257
3.1412680756395996,29
3.141274238227147,42
3.141284403669725,46
3.141292442497262,26
3.141304347826087,88
3.141316073354908,32
3.1413237924865833,48
3.1413333333333333,37
3.141339001062699,26
3.141361256544503,237
3.1413828689370487,33
3.141388174807198,30
3.1413969335604772,48
3.141403865717192,33
3.1414141414141414,90
3.141424272818455,28
3.141430948419301,51
3.141439205955335,37
3.1414634146341465,191
3.1414868105515588,34
3.1414944356120826,37
3.141509433962264,96
3.141524105754277,43
3.1415313225058004,33
3.141552511415525,174
3.141573033707865,25
3.1415797317436662,39
3.1415929203539825,84
3.141605839416058,36
3.1416122004357296,34
3.1416309012875536,174
3.141649048625793,27
3.1416549789621318,37
3.1416666666666666,68
3.1416781292984868,32
3.141683778234086,35
3.1417004048582995,151
3.141721854304636,30
3.141732283464567,52
3.141742522756827,36
3.1417624521072796,157
3.1417816813048933,32
3.1417910447761193,45
3.1418002466091246,34
3.1418181818181816,150
3.141835518474374,44
3.141843971631206,43
3.141852286049238,37
3.141868512110727,120
3.1418842224744608,27
3.141891891891892,46
3.141899441340782,31
3.1419141914191417,138
3.1419284940411703,35
3.141935483870968,31
3.141942369263607,29
3.141955835962145,123
3.1419689119170986,31
3.1419753086419755,26
3.1419816138917263,44
3.1419939577039275,126
3.1420118343195265,38
3.1420289855072463,95
3.1420454545454546,52
3.1420612813370474,93
3.1420765027322406,32
3.1420911528150133,77
3.142105263157895,32
3.1421188630490957,80
3.1421319796954315,26
3.14214463840399,92
3.142156862745098,35
3.1421686746987953,73
3.1421800947867298,40
3.1421911421911424,81
3.1422018348623855,23
3.1422121896162527,70
3.1422222222222222,35
3.1422319474835887,64
3.1422413793103448,33
3.142250530785563,70
3.1422594142259412,34
3.1422680412371133,76
3.1422764227642275,27
3.1422845691382766,71
3.142300194931774,55
3.1423149905123338,51
3.142329020332717,41
3.142342342342342,40
3.142355008787346,46
3.142367066895369,50
3.1423785594639866,38
3.1423895253682486,33
3.1424,30
3.1424100156494523,43
3.1424196018376724,36
3.1424287856071964,34
3.142437591776799,43
3.1424460431654677,43
3.142454160789845,53
3.1424619640387275,45
3.1424694708276797,37
3.1424766977363516,34
3.142483660130719,31
3.142490372272144,30
3.14249684741488,37
3.1425030978934325,35
3.1425091352009744,36
3.1425149700598802,43
3.142520612485277,45
3.1425260718424104,29
3.142531356898518,28
3.142536475869809,31
3.1425414364640885,30
3.1425462459194775,30
3.142550911039657,34
3.1425554382259766,28
3.142559833506764,24
3.1425641025641027,36
3.142568250758342,30
3.142857142857143,3967
