pi-val,count
3.12,1048
3.1200807265388497,26
3.120085015940489,31
3.1200897867564534,27
3.1200951248513675,29
3.120101137800253,38
3.1201079622132255,38
3.1201157742402317,41
3.1201248049921997,40
3.1201353637901863,33
3.120147874306839,52
3.120162932790224,69
3.1201716738197427,38
3.120181405895692,70
3.1201923076923075,29
3.1202046035805626,77
3.120218579234973,30
3.1202346041055717,85
3.120246659815005,24
3.1202531645569622,33
3.1202600216684724,35
3.120274914089347,109
3.120291616038882,27
3.1203007518796992,62
3.1203104786545923,43
3.120331950207469,142
3.1203501094091903,29
3.1203566121842496,46
3.1203703703703702,68
3.120385232744783,26
3.1203931203931203,32
3.1204188481675392,219
3.1204419889502764,26
3.1204481792717087,34
3.120458891013384,36
3.1204678362573097,30
3.1204819277108435,122
3.120496894409938,37
3.120507399577167,81
3.1205211726384365,33
3.1205298013245035,32
3.1205357142857144,31
3.120567375886525,285
3.12059765208111,28
3.120603015075377,34
3.120610687022901,48
3.1206225680933852,39
3.1206313416009017,24
3.1206434316353886,75
3.1206543967280163,25
3.1206611570247933,40
3.120669056152927,26
3.1206896551724137,166
3.1207115628970774,35
3.120720720720721,46
3.120728929384966,30
3.1207430340557276,109
3.1207598371777476,33
3.1207729468599035,86
3.120783460282916,28
3.120792079207921,41
3.120805369127517,41
3.120815138282387,41
3.120822622107969,36
3.1208285385500574,30
3.120833333333333,31
3.120879120879121,469
3.120925341745531,30
3.1209302325581394,34
3.120936280884265,38
3.1209439528023597,42
3.1209540034071552,28
3.120967741935484,69
3.120976692563818,37
3.1209876543209876,86
3.121001390820584,39
3.121019108280255,117
3.1210340775558167,34
3.1210428305400373,50
3.1210526315789475,38
3.121057985757884,29
3.1210762331838566,184
3.1210986267166043,41
3.121107266435986,32
3.1211146838156485,41
3.12112676056338,105
3.121140142517815,34
3.1211498973305956,67
3.121163166397415,31
3.1211717709720372,38
3.121177802944507,31
3.121212121212121,326
3.1212435233160623,27
3.12124849939976,29
3.1212553495007134,38
3.1212653778558876,35
3.1212814645308926,76
3.1212938005390836,35
3.121311475409836,123
3.1213282247765006,29
3.1213389121338913,76
3.121351766513057,41
3.121359223300971,26
3.1213640922768304,24
3.121387283236994,237
3.121412803532009,31
3.121418826739427,24
3.1214285714285714,39
3.1214361140443505,35
3.1214470284237725,90
3.1214574898785425,22
3.1214642262895174,33
3.121472392638037,31
3.121495327102804,186
3.121516164994426,27
3.121522693997072,32
3.121535181236674,74
3.1215469613259668,29
3.121552604698672,21
3.1215686274509804,123
3.1215880893300247,30
3.1215970961887476,43
3.1216056670602126,22
3.1216216216216215,122
3.1216361679224973,32
3.1216429699842023,38
3.1216494845360825,28
3.121661721068249,98
3.1216783216783215,30
3.121693121693122,83
3.1217063989962357,33
3.1217183770883055,78
