pi-val,count
3.12,978
3.1200807265388497,32
3.120085015940489,26
3.1200897867564534,28
3.1200951248513675,29
3.120101137800253,33
3.1201079622132255,28
3.1201157742402317,38
3.1201248049921997,39
3.1201353637901863,44
3.120147874306839,33
3.120162932790224,70
3.1201716738197427,25
3.120181405895692,67
3.1201923076923075,29
3.1202046035805626,87
3.120218579234973,34
3.1202346041055717,90
3.120246659815005,29
3.1202531645569622,49
3.1202600216684724,37
3.120274914089347,106
3.120291616038882,35
3.1203007518796992,37
3.1203104786545923,33
3.120331950207469,164
3.1203501094091903,29
3.1203566121842496,28
3.1203703703703702,80
3.120385232744783,42
3.1203931203931203,29
3.1204188481675392,190
3.1204419889502764,28
3.1204481792717087,36
3.120458891013384,34
3.1204678362573097,22
3.1204819277108435,122
3.120496894409938,31
3.120507399577167,76
3.1205211726384365,40
3.1205298013245035,31
3.1205357142857144,25
3.120567375886525,311
3.12059765208111,32
3.120603015075377,34
3.120610687022901,33
3.1206225680933852,44
3.1206313416009017,27
3.1206434316353886,86
3.1206543967280163,30
3.1206611570247933,39
3.120669056152927,32
3.1206896551724137,171
3.1207115628970774,28
3.120720720720721,36
3.120728929384966,31
3.1207430340557276,115
3.1207598371777476,31
3.1207729468599035,83
3.120783460282916,23
3.120792079207921,43
3.120805369127517,35
3.120815138282387,45
3.120822622107969,33
3.1208285385500574,31
3.120833333333333,24
3.120879120879121,505
3.120925341745531,33
3.1209302325581394,34
3.120936280884265,32
3.1209439528023597,33
3.1209540034071552,44
3.120967741935484,64
3.120976692563818,20
3.1209876543209876,77
3.121001390820584,33
3.121019108280255,124
3.1210340775558167,34
3.1210428305400373,47
3.1210526315789475,35
3.121057985757884,36
3.1210762331838566,176
3.1210986267166043,33
3.121107266435986,45
3.1211146838156485,26
3.12112676056338,76
3.121140142517815,25
3.1211498973305956,65
3.121163166397415,44
3.1211717709720372,32
3.121177802944507,32
3.121212121212121,326
3.1212435233160623,23
3.12124849939976,33
3.1212553495007134,34
3.1212653778558876,39
3.1212814645308926,82
3.1212938005390836,29
3.121311475409836,138
3.1213282247765006,35
3.1213389121338913,82
3.121351766513057,34
3.121359223300971,32
3.1213640922768304,28
3.121387283236994,238
3.121412803532009,27
3.121418826739427,32
3.1214285714285714,33
3.1214361140443505,31
3.1214470284237725,79
3.1214574898785425,30
3.1214642262895174,35
3.121472392638037,26
3.121495327102804,179
3.121516164994426,27
3.121522693997072,42
3.121535181236674,62
3.1215469613259668,35
3.121552604698672,29
3.1215686274509804,129
3.1215880893300247,31
3.1215970961887476,43
3.1216056670602126,30
3.1216216216216215,121
3.1216361679224973,33
3.1216429699842023,41
3.1216494845360825,25
3.121661721068249,86
3.1216783216783215,36
3.121693121693122,81
3.1217063989962357,34
3.1217183770883055,84
3.1217292377701935,37
3.121739130434783,73
3.121748178980229,21
3.121756487025948,33
3.121771217712177,34
3.1217838765008574,34
3.121794871794872,45
3.1218045112781954,37
3.121813031161473,34
3.1218206157965196,30
3.1218274111675126,25
3.1218335343787698,37
3.12183908045977,31
3.1218441273326016,31
3.1218487394957983,32
3.121852970795569,32
3.1219512195121952,1219
3.1220512820512822,29
3.1220556745182013,25
3.122060470324748,35
3.1220657276995305,35
3.1220715166461157,29
3.122077922077922,32
3.122085048010974,43
3.122093023255814,43
3.1221020092735703,35
3.122112211221122,37
3.1221238938053095,35
