pi-val,count
3.14,224
3.1400220507166483,33
3.14002828854314,38
3.1400394477317555,44
3.14004914004914,28
3.1400651465798046,139
3.1400832177531206,33
3.140096618357488,79
3.140106951871658,32
3.140115163147793,59
3.140127388535032,47
3.140136054421769,42
3.1401425178147266,31
3.1401475237091674,16
3.1401869158878504,437
3.140225179119754,28
3.1402298850574715,29
3.1402359108781126,28
3.1402439024390243,50
3.140255009107468,36
3.1402623612512612,25
3.1402714932126696,99
3.1402831402831404,33
3.1402985074626866,101
3.140311804008909,38
3.1403197158081704,48
3.140328697850822,35
3.1403508771929824,182
3.1403726708074533,38
3.1403812824956674,38
3.140388768898488,37
3.140401146131805,85
3.1404151404151404,40
3.1404255319148935,83
3.1404399323181047,41
3.140449438202247,37
3.140456182472989,33
3.140461215932914,26
3.1404958677685952,393
3.140529531568228,17
3.140534262485482,33
3.1405405405405404,36
3.1405492730210014,41
3.140562248995984,64
3.1405714285714286,36
3.140583554376658,92
3.140600315955766,42
3.140607424071991,40
3.140625,135
3.140642303433001,30
3.1406491499227203,43
3.1406649616368285,92
3.1406761177753544,28
3.140684410646388,50
3.140695915279879,45
3.14070351758794,42
3.140708915145005,25
3.140740740740741,315
3.1407716371220022,28
3.1407766990291264,29
3.1407837445573294,43
3.1407942238267146,50
3.1408016443987665,31
3.1408114558472553,81
3.140825035561878,34
3.1408308004052685,24
3.140845070422535,152
3.1408647140864714,41
3.140877598152425,82
3.140893470790378,37
3.140902872777018,37
3.140909090909091,42
3.140939597315436,296
3.140969162995595,31
3.1409749670619234,34
3.140983606557377,44
3.140997830802603,75
3.1410090556274257,38
3.141025641025641,128
3.1410419313850064,30
3.1410526315789475,76
3.1410658307210033,49
3.1410736579275906,28
3.141078838174274,42
3.1411042944785277,262
3.1411290322580645,24
3.141133896260555,37
3.141141141141141,49
3.1411530815109345,39
3.1411625148279954,32
3.1411764705882352,110
3.1411901983663943,34
3.141199226305609,40
3.1412103746397695,36
3.1412169919632604,33
3.1412429378531073,268
3.1412680756395996,30
3.141274238227147,37
3.141284403669725,48
3.141292442497262,25
3.141304347826087,107
3.141316073354908,40
3.1413237924865833,52
3.1413333333333333,32
3.141339001062699,33
3.141361256544503,209
3.1413828689370487,29
3.141388174807198,38
3.1413969335604772,39
3.141403865717192,22
3.1414141414141414,73
3.141424272818455,31
3.141430948419301,38
3.141439205955335,30
3.1414634146341465,171
3.1414868105515588,24
3.1414944356120826,44
3.141509433962264,87
3.141524105754277,46
3.1415313225058004,42
3.141552511415525,207
3.141573033707865,36
3.1415797317436662,34
3.1415929203539825,69
3.141605839416058,51
3.1416122004357296,27
3.1416309012875536,160
3.141649048625793,24
3.1416549789621318,35
3.1416666666666666,84
3.1416781292984868,35
3.141683778234086,28
3.1417004048582995,157
3.141721854304636,36
3.141732283464567,43
3.141742522756827,42
3.1417624521072796,152
3.1417816813048933,44
3.1417910447761193,36
3.1418002466091246,33
3.1418181818181816,152
3.141835518474374,28
3.141843971631206,46
3.141852286049238,34
3.141868512110727,127
3.1418842224744608,43
3.141891891891892,42
3.141899441340782,32
3.1419141914191417,121
3.1419284940411703,32
3.141935483870968,47
3.141942369263607,31
3.141955835962145,122
3.1419689119170986,38
3.1419753086419755,40
3.1419816138917263,25
3.1419939577039275,134
3.1420118343195265,36
3.1420289855072463,100
3.1420454545454546,43
3.1420612813370474,80
3.1420765027322406,43
3.1420911528150133,87
3.142105263157895,35
3.1421188630490957,93
3.1421319796954315,31
3.14214463840399,98
3.142156862745098,21
3.1421686746987953,79
3.1421800947867298,31
3.1421911421911424,78
3.1422018348623855,38
3.1422121896162527,105
3.1422222222222222,37
3.1422319474835887,68
3.1422413793103448,39
3.142250530785563,87
3.1422594142259412,31
3.1422680412371133,75
3.1422764227642275,28
3.1422845691382766,74
3.142300194931774,47
3.1423149905123338,55
3.142329020332717,40
