,0
0,3.028
1,3.044
2,3.044
3,3.048
4,3.052
5,3.052
6,3.06
7,3.064
8,3.072
9,3.08
10,3.084
11,3.084
12,3.088
13,3.092
14,3.096
15,3.096
16,3.096
17,3.1
18,3.1
19,3.1
20,3.104
21,3.108
22,3.108
23,3.108
24,3.112
25,3.112
26,3.116
27,3.116
28,3.12
29,3.12
30,3.12
31,3.12
32,3.12
33,3.124
34,3.124
35,3.124
36,3.124
37,3.124
38,3.128
39,3.128
40,3.128
41,3.128
42,3.128
43,3.132
44,3.136
45,3.136
46,3.14
47,3.14
48,3.14
49,3.144
50,3.144
51,3.148
52,3.148
53,3.148
54,3.148
55,3.152
56,3.152
57,3.156
58,3.156
59,3.156
60,3.16
61,3.16
62,3.16
63,3.16
64,3.16
65,3.168
66,3.168
67,3.168
68,3.168
69,3.168
70,3.172
71,3.172
72,3.172
73,3.172
74,3.172
75,3.172
76,3.172
77,3.18
78,3.18
79,3.184
80,3.184
81,3.184
82,3.184
83,3.184
84,3.188
85,3.188
86,3.196
87,3.196
88,3.2
89,3.2
90,3.204
91,3.204
92,3.22
93,3.232
94,3.24
95,3.252
96,3.284
97,3.284
98,3.296
99,3.328
