,0
0,2.988
1,2.996
2,3.0
3,3.012
4,3.012
5,3.012
6,3.016
7,3.016
8,3.02
9,3.02
10,3.02
11,3.02
12,3.024
13,3.024
14,3.024
15,3.028
16,3.028
17,3.032
18,3.032
19,3.032
20,3.036
21,3.036
22,3.036
23,3.04
24,3.04
25,3.04
26,3.04
27,3.04
28,3.04
29,3.044
30,3.044
31,3.044
32,3.044
33,3.044
34,3.044
35,3.044
36,3.048
37,3.048
38,3.048
39,3.048
40,3.048
41,3.048
42,3.048
43,3.048
44,3.052
45,3.052
46,3.052
47,3.052
48,3.052
49,3.052
50,3.052
51,3.056
52,3.056
53,3.056
54,3.056
55,3.056
56,3.056
57,3.056
58,3.056
59,3.056
60,3.056
61,3.056
62,3.056
63,3.056
64,3.06
65,3.06
66,3.06
67,3.06
68,3.06
69,3.06
70,3.06
71,3.064
72,3.064
73,3.064
74,3.064
75,3.064
76,3.064
77,3.064
78,3.064
79,3.064
80,3.068
81,3.068
82,3.068
83,3.068
84,3.068
85,3.068
86,3.068
87,3.068
88,3.068
89,3.068
90,3.068
91,3.068
92,3.068
93,3.072
94,3.072
95,3.072
96,3.072
97,3.072
98,3.072
99,3.072
100,3.076
101,3.076
102,3.076
103,3.076
104,3.076
105,3.076
106,3.076
107,3.076
108,3.08
109,3.08
110,3.08
111,3.08
112,3.08
113,3.08
114,3.08
115,3.08
116,3.08
117,3.08
118,3.08
119,3.08
120,3.08
121,3.084
122,3.084
123,3.084
124,3.084
125,3.084
126,3.084
127,3.084
128,3.084
129,3.084
130,3.084
131,3.084
132,3.088
133,3.088
134,3.088
135,3.088
136,3.088
137,3.088
138,3.088
139,3.088
140,3.088
141,3.088
142,3.088
143,3.088
144,3.088
145,3.088
146,3.088
147,3.088
148,3.088
149,3.088
150,3.088
151,3.088
152,3.092
153,3.092
154,3.092
155,3.092
156,3.092
157,3.092
158,3.092
159,3.092
160,3.092
161,3.092
162,3.092
163,3.092
164,3.092
165,3.092
166,3.092
167,3.092
168,3.092
169,3.092
170,3.096
171,3.096
172,3.096
173,3.096
174,3.096
175,3.096
176,3.096
177,3.096
178,3.096
179,3.096
180,3.096
181,3.096
182,3.096
183,3.096
184,3.096
185,3.096
186,3.096
187,3.096
188,3.1
189,3.1
190,3.1
191,3.1
192,3.1
193,3.1
194,3.1
195,3.1
196,3.1
197,3.1
198,3.1
199,3.1
200,3.1
201,3.1
202,3.1
203,3.1
204,3.1
205,3.1
206,3.1
207,3.1
208,3.1
209,3.1
210,3.104
211,3.104
212,3.104
213,3.104
214,3.104
215,3.104
