,0
0,2.984
1,2.988
2,2.992
3,2.992
4,2.996
5,3.0
6,3.0
7,3.004
8,3.008
9,3.008
10,3.008
11,3.012
12,3.012
13,3.012
14,3.012
15,3.016
16,3.02
17,3.024
18,3.024
19,3.024
20,3.028
21,3.028
22,3.028
23,3.028
24,3.032
25,3.032
26,3.036
27,3.036
28,3.036
29,3.036
30,3.04
31,3.04
32,3.04
33,3.04
34,3.044
35,3.044
36,3.044
37,3.044
38,3.044
39,3.044
40,3.048
41,3.048
42,3.048
43,3.048
44,3.048
45,3.048
46,3.048
47,3.048
48,3.048
49,3.052
50,3.052
51,3.052
52,3.052
53,3.056
54,3.056
55,3.056
56,3.056
57,3.056
58,3.056
59,3.056
60,3.056
61,3.06
62,3.06
63,3.06
64,3.06
65,3.06
66,3.06
67,3.06
68,3.06
69,3.06
70,3.06
71,3.064
72,3.064
73,3.064
74,3.064
75,3.064
76,3.064
77,3.064
78,3.064
79,3.064
80,3.064
81,3.064
82,3.064
83,3.064
84,3.064
85,3.068
86,3.068
87,3.068
88,3.068
89,3.068
90,3.068
91,3.068
92,3.068
93,3.068
94,3.068
95,3.068
96,3.068
97,3.072
98,3.072
99,3.072
100,3.072
101,3.072
102,3.072
103,3.072
104,3.072
105,3.072
106,3.072
107,3.072
108,3.072
109,3.072
110,3.072
111,3.072
112,3.072
113,3.072
114,3.076
115,3.076
116,3.076
117,3.076
118,3.076
119,3.076
120,3.08
121,3.08
122,3.08
123,3.08
124,3.08
125,3.08
126,3.08
127,3.08
128,3.08
129,3.08
130,3.08
131,3.08
132,3.08
133,3.08
134,3.08
135,3.084
136,3.084
137,3.084
138,3.084
139,3.084
140,3.084
141,3.084
142,3.084
143,3.084
144,3.084
145,3.084
146,3.088
147,3.088
148,3.088
149,3.088
150,3.088
151,3.088
152,3.088
153,3.088
154,3.088
155,3.088
156,3.088
157,3.088
158,3.088
159,3.088
160,3.088
161,3.088
162,3.088
163,3.088
164,3.088
165,3.092
166,3.092
167,3.092
168,3.092
169,3.092
170,3.092
171,3.092
172,3.092
173,3.092
174,3.092
175,3.092
176,3.092
177,3.092
178,3.092
179,3.092
180,3.092
