,pi-val
0,3.1321695760598502
1,3.1321695760598502
2,3.1321695760598502
3,3.1321695760598502
4,3.1321695760598502
5,3.1321695760598502
6,3.1321695760598502
7,3.1321695760598502
8,3.1321695760598502
9,3.1321695760598502
10,3.132183908045977
11,3.132183908045977
12,3.1321897073662965
13,3.1322033898305084
14,3.1322033898305084
15,3.1322033898305084
16,3.1322033898305084
17,3.1322033898305084
18,3.1322033898305084
19,3.1322033898305084
20,3.1322033898305084
21,3.1322033898305084
22,3.1322033898305084
23,3.1322033898305084
24,3.1322033898305084
25,3.1322033898305084
26,3.1322207958921693
27,3.1322314049586777
28,3.1322314049586777
29,3.1322314049586777
30,3.1322314049586777
31,3.1322314049586777
32,3.1322314049586777
33,3.1322314049586777
34,3.1322314049586777
35,3.1322314049586777
36,3.1322314049586777
37,3.1322314049586777
38,3.1322436849925706
39,3.1322436849925706
40,3.1322436849925706
41,3.1322436849925706
42,3.1322505800464038
43,3.1322505800464038
44,3.1322505800464038
45,3.132275132275132
46,3.132275132275132
47,3.132275132275132
48,3.132275132275132
49,3.132275132275132
50,3.132275132275132
51,3.132275132275132
52,3.132275132275132
53,3.132275132275132
54,3.132275132275132
55,3.132275132275132
56,3.132275132275132
57,3.132275132275132
58,3.132275132275132
59,3.132275132275132
60,3.132275132275132
61,3.132275132275132
62,3.132275132275132
63,3.132275132275132
64,3.132275132275132
65,3.132275132275132
66,3.132275132275132
67,3.132275132275132
68,3.132275132275132
69,3.132275132275132
70,3.132275132275132
71,3.132275132275132
72,3.132275132275132
73,3.132275132275132
74,3.1323003575685338
75,3.1323003575685338
76,3.1323003575685338
77,3.1323076923076925
78,3.1323076923076925
79,3.1323076923076925
80,3.1323076923076925
81,3.1323076923076925
82,3.1323076923076925
83,3.1323210412147504
84,3.1323210412147504
85,3.1323210412147504
86,3.1323210412147504
87,3.1323210412147504
88,3.1323210412147504
89,3.1323210412147504
90,3.1323210412147504
91,3.132332878581173
92,3.132332878581173
93,3.132332878581173
94,3.1323529411764706
95,3.1323529411764706
96,3.1323529411764706
97,3.1323529411764706
98,3.1323529411764706
99,3.1323529411764706
100,3.1323529411764706
101,3.1323529411764706
102,3.1323529411764706
103,3.1323529411764706
104,3.1323529411764706
105,3.1323529411764706
106,3.1323529411764706
107,3.1323529411764706
108,3.1323529411764706
109,3.1323529411764706
110,3.1323529411764706
111,3.132369299221357
112,3.1323763955342905
113,3.1323763955342905
114,3.1323763955342905
115,3.1323828920570267
116,3.1323828920570267
117,3.1323828920570267
118,3.132394366197183
119,3.132394366197183
120,3.132394366197183
121,3.132394366197183
122,3.132394366197183
123,3.132394366197183
124,3.132394366197183
125,3.132394366197183
126,3.132394366197183
127,3.132408575031526
128,3.132408575031526
129,3.132408575031526
130,3.132408575031526
131,3.132408575031526
132,3.132420091324201
133,3.132420091324201
134,3.132420091324201
135,3.132420091324201
136,3.132420091324201
137,3.132429614181439
138,3.132429614181439
