pi-val,count
3.12,994
3.1200807265388497,28
3.120085015940489,26
3.1200897867564534,27
3.1200951248513675,33
3.120101137800253,29
3.1201079622132255,23
3.1201157742402317,36
3.1201248049921997,39
3.1201353637901863,30
3.120147874306839,36
3.120162932790224,65
3.1201716738197427,24
3.120181405895692,70
3.1201923076923075,35
3.1202046035805626,77
3.120218579234973,34
3.1202346041055717,75
3.120246659815005,26
3.1202531645569622,47
3.1202600216684724,36
3.120274914089347,102
3.120291616038882,35
3.1203007518796992,38
3.1203104786545923,35
3.120331950207469,164
3.1203501094091903,33
3.1203566121842496,39
3.1203703703703702,79
3.120385232744783,34
3.1203931203931203,36
3.1204188481675392,227
3.1204419889502764,25
3.1204481792717087,29
3.120458891013384,46
3.1204678362573097,30
3.1204819277108435,116
3.120496894409938,35
3.120507399577167,74
3.1205211726384365,29
3.1205298013245035,40
3.1205357142857144,22
3.120567375886525,322
3.12059765208111,26
3.120603015075377,38
3.120610687022901,36
3.1206225680933852,44
3.1206313416009017,25
3.1206434316353886,82
3.1206543967280163,23
3.1206611570247933,37
3.120669056152927,29
3.1206896551724137,154
3.1207115628970774,30
3.120720720720721,31
3.120728929384966,25
3.1207430340557276,107
3.1207598371777476,31
3.1207729468599035,94
3.120783460282916,27
3.120792079207921,48
3.120805369127517,31
3.120815138282387,33
3.120822622107969,39
3.1208285385500574,26
3.120833333333333,23
3.120879120879121,438
3.120925341745531,28
3.1209302325581394,31
3.120936280884265,40
3.1209439528023597,33
3.1209540034071552,32
3.120967741935484,72
3.120976692563818,26
3.1209876543209876,91
3.121001390820584,40
3.121019108280255,106
3.1210340775558167,28
3.1210428305400373,40
3.1210526315789475,38
3.121057985757884,25
3.1210762331838566,145
3.1210986267166043,34
3.121107266435986,39
3.1211146838156485,23
3.12112676056338,81
3.121140142517815,35
3.1211498973305956,63
3.121163166397415,28
3.1211717709720372,32
3.121177802944507,29
3.121212121212121,312
3.1212435233160623,19
3.12124849939976,39
3.1212553495007134,46
3.1212653778558876,39
3.1212814645308926,65
3.1212938005390836,24
3.121311475409836,107
3.1213282247765006,37
3.1213389121338913,71
3.121351766513057,36
3.121359223300971,40
3.1213640922768304,32
3.121387283236994,224
3.121412803532009,22
3.121418826739427,35
3.1214285714285714,36
3.1214361140443505,29
3.1214470284237725,91
3.1214574898785425,29
3.1214642262895174,33
3.121472392638037,40
3.121495327102804,197
3.121516164994426,25
3.121522693997072,27
3.121535181236674,67
3.1215469613259668,40
3.121552604698672,17
3.1215686274509804,121
3.1215880893300247,42
3.1215970961887476,34
3.1216056670602126,35
3.1216216216216215,110
3.1216361679224973,25
3.1216429699842023,49
3.1216494845360825,21
3.121661721068249,89
3.1216783216783215,28
3.121693121693122,93
3.1217063989962357,38
3.1217183770883055,87
3.1217292377701935,29
3.121739130434783,80
3.121748178980229,19
3.121756487025948,42
3.121771217712177,37
3.1217838765008574,31
3.121794871794872,33
3.1218045112781954,40
3.121813031161473,47
3.1218206157965196,32
3.1218274111675126,29
3.1218335343787698,38
3.12183908045977,28
3.1218441273326016,25
3.1218487394957983,24
3.121852970795569,32
3.1219512195121952,1217
3.1220512820512822,20
3.1220556745182013,23
3.122060470324748,26
3.1220657276995305,34
3.1220715166461157,33
3.122077922077922,41
3.122085048010974,33
3.122093023255814,29
3.1221020092735703,46
3.122112211221122,33
3.1221238938053095,39
3.122137404580153,46
3.122153209109731,65
3.1221621621621622,28
3.1221719457013575,64
3.1221826809015423,37
3.1221945137157108,87
3.1222076215505914,34
3.1222222222222222,81
3.122238586156112,39
3.1222444889779557,35
3.122257053291536,110
3.1222707423580784,34
3.1222780569514237,33
3.1222857142857143,29
3.1223021582733814,135
3.1223203026481716,32
3.122330097087379,40
3.122340425531915,33
3.122345803842265,32
3.1223628691983123,158
3.1223814773980156,21
3.1223880597014926,36
3.1224018475750577,77
3.12241653418124,28
3.1224242424242425,39
3.122448979591837,185
3.1224707135250265,25
3.1224764468371466,23
3.1224862888482634,46
3.1224944320712695,23
3.1225071225071224,92
3.122520420070012,30
3.122529644268775,47
3.122541603630862,41
3.122549019607843,40
3.122554067971164,27
3.1225806451612903,254
3.1226096737907763,27
3.122615803814714,32
3.1226252158894647,34
3.1226415094339623,92
3.1226551226551225,35
3.1226611226611225,15
3.1226765799256504,119
3.1226927252985885,26
3.1226993865030677,40
3.122715404699739,94
3.1227272727272726,25
3.1227364185110664,74
3.1227495908346974,31
3.1227586206896554,36
3.1227651966626935,35
3.122770199370409,24
3.1228070175438596,362
3.122842639593909,35
3.1228473019517797,26
3.1228533685601056,40
3.1228615863141522,46
3.122873345935728,38
3.1228813559322033,33
3.1228915662650603,96
3.122905027932961,32
3.122923588039867,114
3.122940430925222,31
3.122950819672131,59
3.122962962962963,35
3.1229698375870067,30
3.122994652406417,199
3.123020706455542,25
3.1230283911671926,45
3.1230425055928412,63
3.123055162659123,43
3.1230610134436403,19
3.123076923076923,125
3.123094958968347,35
3.123102866779089,33
3.123110151187905,25
3.123123123123123,109
3.1231393775372123,32
3.123152709359606,97
3.1231638418079095,18
3.1231732776617953,75
3.1231884057971016,31
3.1232,28
3.1232091690544412,37
3.1232166018158236,37
3.123222748815166,35
3.123227917121047,24
3.1232323232323234,34
3.1232876712328768,653
3.123343527013252,27
3.1233480176211454,25
3.1233532934131736,38
3.1233595800524934,37
3.123367198838897,31
3.1233766233766236,30
3.123388581952118,47
3.123404255319149,80
3.1234140715109575,26
3.123425692695214,72
3.1234396671289875,34
3.123456790123457,115
3.1234705228031148,16
3.123478260869565,31
3.123486682808717,42
3.1235059760956174,120
3.1235230934479055,24
3.123529411764706,40
3.1235431235431235,92
3.1235584843492585,33
3.123566878980892,36
3.1235721703011423,19
3.1235955056179776,214
3.1236180904522612,35
3.123623011015912,40
3.1236306729264474,39
3.123644251626898,80
3.1236559139784945,26
3.1236749116607774,129
3.1236897274633124,29
3.1236959761549925,38
3.1237113402061856,78
3.1237230419977298,21
3.123732251521298,75
3.1237458193979935,35
3.12375533428165,40
3.123762376237624,35
3.1237677984665937,32
3.123809523809524,454
3.1238485158648923,22
3.123853211009174,23
3.123859191655802,43
3.123867069486405,38
3.1238779174147218,42
3.1238938053097347,72
3.1239048811013768,37
3.123919308357349,75
3.123931623931624,26
3.1239388794567065,38
3.1239470517448855,34
3.12396694214876,159
3.1239860950173814,34
3.1239935587761676,32
3.124,31
3.12401055408971,97
3.124022346368715,17
3.124031007751938,44
3.124042879019908,39
3.1240506329113926,38
3.1240560949298812,23
3.124087591240876,322
3.124117053481332,29
3.1241217798594847,32
3.1241283124128314,27
3.1241379310344826,31
3.124153498871332,68
3.1241655540720963,28
3.1241830065359477,109
3.1241997439180538,33
3.1242105263157893,72
3.124223602484472,43
3.124231242312423,34
3.124236252545825,25
3.1242603550295858,230
3.1242873432155074,30
3.1242937853107344,42
3.12430426716141,39
3.1243124312431245,26
3.1243243243243244,80
3.124335812964931,32
3.1243432574430825,36
3.1243523316062176,33
3.1243576567317572,21
3.1243781094527363,169
3.124401913875598,38
3.1244094488188976,43
3.1244239631336406,85
3.1244377811094455,34
3.1244444444444444,22
3.124463519313305,159
3.12448132780083,22
3.124487004103967,40
3.1244979919678717,80
3.124508519003932,32
3.1245283018867926,117
3.124546553808948,34
3.1245551601423487,47
3.1245634458672877,37
3.1245791245791246,100
3.124593716143012,22
3.1246006389776357,30
3.1246073298429318,27
3.1246200607902734,102
3.1246376811594203,30
3.1246537396121883,87
3.1246684350132625,28
3.1246819338422394,69
3.1246943765281174,39
3.124705882352941,92
3.124716553287982,26
3.12472647702407,85
3.124735729386892,29
3.1247443762781186,70
3.124760076775432,42
3.124773960216998,28
3.124786324786325,37
3.124797406807131,28
3.1248073959938365,50
3.1248164464023493,39
3.1248246844319776,35
3.124832214765101,25
3.124839124839125,33
3.1248454882571077,36
3.1248513674197382,31
3.124856815578465,23
3.124861878453039,20
3.1248665955176094,25
3.1248710010319916,23
3.125,1645
3.1251271617497456,32
3.125131440588854,28
3.1251360174102287,21
3.125140924464487,21
3.1251461988304094,40
3.1251518833535843,29
3.125158027812895,39
3.1251646903820816,38
3.125171939477304,33
3.125179856115108,27
3.125188536953243,38
3.1251980982567353,29
3.1252086811352253,38
3.125220458553792,43
3.1252336448598133,46
3.125248508946322,39
3.1252566735112937,22
3.1252653927813165,74
3.1252747252747253,25
3.1252847380410023,77
3.1252955082742315,30
3.1253071253071254,88
3.125319693094629,33
3.1253333333333333,73
3.1253481894150417,23
3.1253644314868803,61
3.1253761283851555,34
3.125382262996942,44
3.1253886010362693,29
3.12540192926045,111
3.125416204217536,22
3.1254237288135593,42
3.1254315304948217,28
3.1254480286738353,140
3.125465838509317,35
3.1254752851711025,47
3.1254851228978007,31
3.125506072874494,160
3.1255230125523012,29
3.1255289139633287,39
3.1255411255411256,73
3.1255539143279174,33
3.125560538116592,21
3.125581395348837,194
3.1256038647342996,31
3.1256117455138663,41
3.1256281407035176,78
3.125638406537283,35
3.125645438898451,33
3.1256544502617802,36
3.125659978880676,31
3.1256830601092895,218
3.1257078142695356,27
3.125714285714286,28
3.125725338491296,40
3.125734430082256,28
3.125748502994012,76
3.1257631257631258,40
3.1257731958762887,71
3.1257861635220126,42
3.1257941550190598,33
3.1257995735607675,27
3.1258278145695364,257
3.125858123569794,26
3.1258644536652835,36
3.125874125874126,34
3.1258811681772407,29
3.125890736342043,97
3.125904486251809,33
3.1259105098855358,31
3.1259259259259258,127
3.125941872981701,17
3.125948406676783,40
3.125964010282776,75
3.1259754738015606,23
3.125984251968504,52
3.1259968102073366,23
3.1260053619302948,31
3.126011560693642,28
3.1260162601626016,28
3.1260504201680672,366
3.126086956521739,24
3.126092384519351,33
3.126099706744868,45
3.1261101243339255,49
3.126126126126126,66
3.126137841352406,35
3.126153846153846,108
3.1261682242990654,42
3.1261770244821094,32
3.1261872455902306,32
3.1261930010604453,31
3.1262135922330097,185
3.1262349066959385,24
3.126241134751773,35
3.12625250501002,67
3.1262626262626263,34
3.1262798634812285,116
3.1262939958592133,35
3.12630014858841,38
3.126315789473684,79
3.126328217237308,29
3.126338329764454,70
3.1263537906137184,40
3.126365054602184,42
3.1263736263736264,38
3.1263803680981597,38
3.1263858093126387,23
3.12639029322548,27
3.1264367816091956,510
3.1264864864864865,26
3.126491646778043,37
3.1264980026631157,32
3.1265060240963853,34
3.1265164644714036,33
3.126530612244898,79
3.1265397536394177,22
3.1265508684863526,70
3.1265646731571626,25
3.1265822784810124,97
3.126596980255517,34
3.126605504587156,42
3.1266149870801034,25
3.126637554585153,157
3.126658624849216,29
3.1266666666666665,39
3.126673532440783,23
3.1266846361185983,84
3.1266968325791855,29
3.1267056530214425,46
3.1267175572519084,45
3.1267252195734003,36
3.126730564430245,26
3.1267605633802815,323
3.1267916207276736,26
3.126797385620915,31
3.1268057784911716,31
3.126819126819127,73
3.126829268292683,37
3.1268436578171093,87
3.126857142857143,29
3.126865671641791,51
3.1268758526603,34
3.1268817204301076,19
3.1269035532994924,202
3.1269276393831555,30
3.126934984520124,35
3.1269487750556793,79
3.1269614835948647,29
3.1269674711437565,32
3.126984126984127,121
3.127003699136868,38
3.1270125223613596,47
3.1270207852193996,32
3.1270358306188926,120
3.127049180327869,26
3.1270553064275037,41
3.1270718232044197,96
3.1270860077021823,36
3.1270983213429258,96
3.12710911136108,23
3.1271186440677967,70
3.1271271271271273,26
3.127134724857685,44
3.127147766323024,40
3.1271585557299844,42
3.1271676300578033,37
3.1271753681392234,36
3.1271820448877805,36
3.127187864644107,40
3.1271929824561404,29
3.127197518097208,33
3.1272727272727274,876
3.127348643006263,28
3.1273532668881505,20
3.1273584905660377,32
3.1273644388398485,38
3.127371273712737,34
3.1273792093704245,46
3.127388535031847,26
3.1273996509598603,34
3.1274131274131274,44
3.127420998980632,27
3.127429805615551,72
3.12743972445465,31
3.127450980392157,99
3.1274638633377134,38
3.1274787535410766,79
3.1274961597542243,47
3.1275026343519494,28
3.12751677852349,109
3.1275327771156136,29
3.1275415896487986,41
3.127551020408163,37
3.1275720164609053,183
3.127589967284624,25
3.1275964391691393,44
3.1276102088167055,88
3.127625201938611,32
3.127633209417596,38
3.127638190954774,31
3.127659574468085,207
3.127683615819209,32
3.1276901004304163,33
3.1277013752455796,54
3.127710843373494,38
3.127725856697819,136
3.127741935483871,24
3.1277533039647576,81
3.1277683134582626,35
3.1277777777777778,33
3.12778429073857,33
3.127789046653144,20
3.1278195488721803,313
3.127853881278539,24
3.1278600269179004,41
3.1278688524590166,35
3.1278825995807127,74
3.1278928136419,40
3.127906976744186,73
3.1279199110122358,26
3.127927927927928,43
3.1279373368146213,37
3.127942681678608,30
3.1279620853080567,187
3.1279826464208242,23
3.1279887482419126,35
3.128,62
3.1280101394169835,36
3.1280276816608996,124
3.128042328042328,30
3.1280487804878048,45
3.128065395095368,76
3.12807881773399,35
3.1280898876404493,71
3.128099173553719,36
3.12810707456979,42
3.1281198003327786,32
3.1281296023564065,38
3.1281373844121534,28
3.1281437125748504,35
3.128148959474261,28
3.1281533804238144,36
3.128205128205128,580
3.1282586027111576,32
3.1282633371169126,34
3.12826899128269,35
3.1282758620689655,37
3.1282843894899535,40
3.1282952548330405,41
3.1283095723014256,69
3.1283185840707963,21
3.128329297820823,92
3.128342245989305,37
3.1283582089552238,84
3.128371089536138,27
3.1283783783783785,40
3.1283863368669023,30
3.1284046692607004,131
3.128421052631579,33
3.1284271284271283,32
3.128440366972477,85
3.1284552845528455,41
3.1284634760705288,37
3.12846865364851,28
3.1284916201117317,218
3.1285140562248994,31
3.128518971848225,42
3.128526645768025,42
3.128540305010893,67
3.1285520974289582,36
3.1285714285714286,142
3.128586609989373,27
3.128593040847201,35
3.1286089238845145,84
3.1286210892236386,29
3.128630705394191,70
3.1286449399656946,42
3.128654970760234,44
3.128662420382166,39
3.128668171557562,33
3.1286727456940224,32
3.128712871287129,425
3.128755364806867,25
3.1287605294825513,39
3.128767123287671,36
3.1287758346581875,30
3.128787878787879,44
3.1287958115183248,29
3.128805620608899,78
3.1288180610889773,28
3.128834355828221,115
3.1288483466362598,27
3.128856624319419,44
3.1288659793814433,22
3.128888888888889,201
3.1289111389236544,36
3.1289198606271778,34
3.1289274106175515,27
3.128939828080229,69
3.1289537712895377,37
3.1289640591966172,63
3.1289782244556115,37
3.128987517337032,32
3.1289940828402365,24
3.128998968008256,38
3.129032258064516,349
3.1290684624017957,27
3.1290743155149934,34
3.1290824261275274,33
3.1290944123314066,36
3.1291028446389495,20
3.1291139240506327,79
3.129129129129129,36
3.1291355389541087,27
3.129151291512915,129
3.129166666666667,31
3.1291727140783743,41
3.1291866028708135,105
3.1291963377416074,18
3.129203539823009,43
3.1292134831460676,38
3.1292200232828873,33
3.129251700680272,299
3.129281767955801,27
3.129287598944591,29
3.1292962356792144,38
3.1293103448275863,73
3.1293213828425097,31
3.1293375394321767,111
3.129353233830846,35
3.1293634496919918,79
3.1293759512937593,49
3.129383313180169,31
3.1293881644934802,27
3.1294117647058823,229
3.129438717067583,36
3.1294452347083928,36
3.1294559099437147,37
3.1294642857142856,27
3.1294765840220387,95
3.129488574537541,31
3.129496402877698,45
3.129506008010681,39
3.129511677282378,26
3.1295336787564767,215
3.1295546558704452,38
3.129559748427673,43
3.129568106312292,40
3.12958435207824,86
3.1296,34
3.1296076099881094,34
3.1296296296296298,186
3.1296505073280723,36
3.1296572280178836,33
3.1296703296703297,87
3.1296829971181555,34
3.129689174705252,24
3.1297071129707112,145
3.129724208375894,22
3.1297297297297297,37
3.129740518962076,33
3.1297509829619923,40
3.1297709923664123,141
3.129789864029666,37
3.129798903107861,35
3.1298076923076925,38
3.1298245614035087,122
3.129840546697039,23
3.1298482293423273,39
3.1298557158712543,36
3.1298701298701297,128
3.129883843717001,23
3.1298904538341157,37
3.129896907216495,38
3.1299093655589125,109
3.12992700729927,46
3.1299435028248586,82
3.1299589603283176,35
3.129973474801061,72
3.12998712998713,25
3.13,77
3.130012150668287,41
3.1300236406619386,87
3.1300345224395856,33
3.1300448430493275,88
3.130054644808743,21
3.1300639658848612,72
3.130072840790843,31
3.130081300813008,63
3.130097087378641,47
3.130111524163569,45
3.1301247771836005,54
3.1301369863013697,40
3.1301482701812193,44
3.13015873015873,32
3.1301684532924963,40
3.1301775147928996,41
3.1301859799713876,36
3.1301939058171744,36
3.1302013422818793,39
3.1302083333333335,31
3.1302149178255374,32
3.13022113022113,42
3.130227001194743,40
3.130232558139535,32
3.130237825594564,32
3.130242825607064,29
3.1302475780409043,31
3.130252100840336,25
3.1302564102564103,35
3.130260521042084,28
3.130434782608696,2305
3.130612244897959,25
3.130616509926855,35
3.1306209850107067,24
3.1306256860592754,32
3.130630630630631,37
3.130635838150289,34
3.130641330166271,36
3.1306471306471306,40
3.130653266331658,43
3.130659767141009,28
3.1306666666666665,32
3.130674002751032,50
3.1306818181818183,40
3.130690161527166,43
3.1306990881458967,52
3.130708661417323,38
3.130718954248366,32
3.130730050933786,34
3.1307420494699647,39
3.130755064456722,42
3.1307692307692307,43
3.130784708249497,70
3.130792996910402,34
3.130801687763713,66
3.130810810810811,29
3.130820399113082,100
3.130830489192264,31
3.130841121495327,70
3.1308523409363747,35
3.130864197530864,73
3.130876747141042,40
3.130890052356021,82
3.1309041835357623,36
3.13091922005571,86
3.130935251798561,44
3.130952380952381,87
3.130964467005076,33
3.130970724191063,34
3.130977130977131,26
3.130990415335463,110
3.131004366812227,26
3.131011608623549,46
3.1310190369540876,30
3.1310344827586207,122
3.1310507674144037,34
3.1310592459605027,45
3.1310679611650487,37
3.1310861423220975,127
3.1311053984575836,33
3.131115459882583,45
3.1311258278145697,39
3.131131131131131,28
3.1311475409836067,180
3.131164742917104,24
3.1311706629055007,32
3.131182795698925,82
3.131195335276968,50
3.131201764057332,33
3.1312217194570136,171
3.1312427409988386,31
3.13125,39
3.1312649164677806,101
3.1312803889789302,43
3.1312883435582823,43
3.1313131313131315,220
3.1313340227507758,31
3.1313394018205463,31
3.1313485113835378,41
3.1313559322033897,22
3.131367292225201,77
3.1313789359391966,29
3.1313868613138687,38
3.131396957123098,33
3.131403118040089,30
3.1314285714285712,218
3.131455399061033,42
3.1314623338257017,39
3.1314741035856573,29
3.1314837153196624,34
3.1314984709480123,110
3.13151364764268,42
3.1315240083507305,71
3.131537242472266,36
3.13154533844189,27
3.1315508021390372,24
3.1315789473684212,285
3.1316085489313834,37
3.1316146540027137,41
3.1316239316239316,38
3.131639722863741,75
3.1316526610644257,33
3.1316582914572866,27
3.131672597864769,135
3.1316872427983538,26
3.1316931982633864,37
3.131707317073171,94
3.131717597471022,26
3.131725417439703,50
3.1317365269461077,45
3.1317440401505645,44
3.1317494600431965,28
3.131782945736434,330
3.131818181818182,33
3.131824234354194,28
3.1318327974276525,41
3.13184584178499,78
3.131855309218203,29
3.131868131868132,90
3.1318795430944966,25
3.1318864774624373,41
3.13189448441247,39
3.1319148936170214,175
3.13193588162762,34
3.1319444444444446,38
3.1319520174482007,30
3.131964809384164,76
3.1319796954314723,33
3.131991051454139,92
3.132,32
3.132007233273056,53
3.1320182094081943,42
3.1320261437908496,40
3.13203214695752,32
3.1320368474923233,33
3.1320754716981134,452
3.1321160042964555,37
3.1321212121212123,37
3.132127955493741,33
3.132137030995106,32
3.1321499013806706,47
3.13215859030837,31
3.1321695760598502,77
3.132183908045977,37
3.1321897073662965,34
3.1322033898305084,125
3.1322207958921693,26
3.1322314049586777,79
3.1322436849925706,41
3.1322505800464038,30
3.132275132275132,213
3.1323003575685338,46
3.1323076923076925,34
