pi-val,count,,,mean(xi),3.1350097565854,,,,,
Xi,Fi,XiFi,Xi-X’,(Xi-X’)^2,Fi*(Xi-X’)^2,,,fi,xi,normal
3.12,1005,3135.6,-0.01500975656854,0.000225292792247,0.22641925620806,0.0000000000000333077558771906,,23,3.142011834,123.7243553
3.12008072653885,22,68.6417759838547,-0.01492903002969,0.000222875937627,0.004903270627802,0.000125762986714,,84,3.142028986,131.4051557
3.12008501594049,28,87.3623804463337,-0.01492474062805,0.000222747882815,0.006236940718808,0.000125743445855,,36,3.142045455,139.0943282
3.12008978675645,36,112.323232323232,-0.01491996981209,0.000222605499194,0.008013797970972,0.000125725880206,,90,3.142061281,146.7762349
3.12009512485137,32,99.8430439952439,-0.01491463171717,0.000222446239259,0.007118279656282,0.000125693351931,,33,3.142076503,154.4367601
3.12010113780025,33,102.963337547408,-0.01490861876829,0.000222266913578,0.007334808148081,0.000125666983927,,86,3.142091153,162.0632293
3.12010796221323,31,96.7233468286101,-0.01490179435531,0.000222063475008,0.006883967725246,0.000125636854248,,36,3.142105263,169.6443227
3.12011577424023,53,165.366136034732,-0.01489398232831,0.000221830709596,0.011757027608589,0.000125634063293,,76,3.142118863,177.1699863
3.1201248049922,36,112.324492979719,-0.01488495157634,0.00022156178343,0.007976224203479,0.000125587766313,,38,3.14213198,184.6313422
3.12013536379019,44,137.285956006768,-0.01487439277835,0.000221247560525,0.009734892663084,0.000125569351539,,68,3.142144638,192.0205998
3.12014787430684,40,124.805914972274,-0.0148618822617,0.000220875544361,0.008835021774425,0.000125537189566,,35,3.142156863,199.3309702
3.12016293279022,60,187.209775967413,-0.01484682377832,0.000220428176304,0.01322569057827,0.000125530105703,,69,3.142168675,206.5565828
3.12017167381974,40,124.80686695279,-0.0148380827488,0.00022016869966,0.008806747986409,0.000125481875753,,32,3.142180095,213.6924067
3.12018140589569,83,258.975056689342,-0.01482835067285,0.000219879983677,0.018250038645192,0.000125492278439,,83,3.142191142,220.734176
