pi-val,count
3.14285714285714,2198
3.1304347826087,2047
3.12,1823
3.13636363636364,1031
3.125,907
3.14754098360656,676
3.13846153846154,668
3.13432835820895,629
3.12676056338028,605
3.12328767123288,603
3.14634146341463,519
3.13953488372093,457
3.12765957446808,443
3.13333333333333,441
3.12244897959184,424
3.14851485148515,379
3.13761467889908,373
3.13513513513513,364
3.14018691588785,349
3.14563106796116,347
3.12605042016807,344
3.12396694214876,336
3.12820512820513,334
3.1219512195122,321
3.13274336283186,320
3.140625,309
3.14516129032258,301
3.12857142857143,296
3.13235294117647,286
3.14893617021277,273
3.12162162162162,269
3.14685314685315,263
3.14457831325301,255
3.1448275862069,254
3.13907284768212,250
3.12727272727273,248
3.12883435582822,245
3.14093959731544,242
3.13207547169811,235
3.13375796178344,227
3.13548387096774,222
3.13725490196078,220
3.12426035502959,218
3.12574850299401,213
3.14814814814815,213
3.14117647058824,212
3.14594594594595,210
3.12138728323699,206
3.12371134020619,204
3.12280701754386,202
3.14438502673797,202
3.13483146067416,199
3.12903225806452,198
3.1413612565445,198
3.13989637305699,197
3.14917127071823,192
3.12631578947368,190
3.13793103448276,190
3.12121212121212,185
3.13186813186813,184
3.13300492610837,180
3.1356783919598,180
3.14798206278027,177
3.13170731707317,176
3.13705583756345,172
3.12558139534884,170
3.13888888888889,168
3.12796208530806,167
3.12217194570136,163
3.12918660287081,162
3.13692946058091,162
3.14705882352941,161
3.14666666666667,159
3.13807531380753,158
3.13924050632911,158
3.14042553191489,158
3.14410480349345,158
3.13469387755102,157
3.12096774193548,153
3.14150943396226,151
3.14163090128755,151
3.1336032388664,150
3.12295081967213,149
3.12931034482759,149
3.12442396313364,148
3.1271186440678,148
3.13157894736842,148
3.14537444933921,148
3.1358024691358,145
3.13392857142857,143
3.14876033057851,143
3.14932126696833,143
3.13253012048193,140
3.14423076923077,138
3.12107623318386,135
3.12741312741313,128
3.14391143911439,127
3.144,126
3.1254752851711,124
3.13740458015267,124
3.13780918727915,124
3.14716981132075,124
3.14828897338403,123
3.14606741573034,121
3.1264367816092,119
3.1284046692607,119
