pi-val,count
3.12,919
3.1200807265388497,35
3.120085015940489,30
3.1200897867564534,24
3.1200951248513675,29
3.120101137800253,38
3.1201079622132255,31
3.1201157742402317,33
3.1201248049921997,45
3.1201353637901863,23
3.120147874306839,34
3.120162932790224,56
3.1201716738197427,36
3.120181405895692,65
3.1201923076923075,27
3.1202046035805626,71
3.120218579234973,38
3.1202346041055717,96
3.120246659815005,24
3.1202531645569622,46
3.1202600216684724,26
3.120274914089347,122
3.120291616038882,26
3.1203007518796992,47
3.1203104786545923,32
3.120331950207469,147
3.1203501094091903,32
3.1203566121842496,35
3.1203703703703702,76
3.120385232744783,27
3.1203931203931203,29
3.1204188481675392,199
3.1204419889502764,27
3.1204481792717087,33
3.120458891013384,34
3.1204678362573097,19
3.1204819277108435,114
3.120496894409938,34
3.120507399577167,67
3.1205211726384365,30
3.1205298013245035,29
3.1205357142857144,28
3.120567375886525,273
3.12059765208111,26
3.120603015075377,49
3.120610687022901,28
3.1206225680933852,32
3.1206313416009017,35
3.1206434316353886,73
3.1206543967280163,29
3.1206611570247933,45
3.120669056152927,30
3.1206896551724137,158
3.1207115628970774,39
3.120720720720721,38
3.120728929384966,37
3.1207430340557276,119
3.1207598371777476,30
3.1207729468599035,82
3.120783460282916,29
3.120792079207921,36
3.120805369127517,17
3.120815138282387,30
3.120822622107969,37
3.1208285385500574,33
3.120833333333333,21
3.120879120879121,429
3.120925341745531,26
3.1209302325581394,25
3.120936280884265,35
3.1209439528023597,30
3.1209540034071552,27
3.120967741935484,62
3.120976692563818,27
3.1209876543209876,59
3.121001390820584,24
3.121019108280255,141
3.1210340775558167,24
3.1210428305400373,43
3.1210526315789475,33
3.121057985757884,33
3.1210762331838566,153
3.1210986267166043,33
3.121107266435986,34
3.1211146838156485,33
3.12112676056338,65
3.121140142517815,29
3.1211498973305956,57
3.121163166397415,30
3.1211717709720372,23
3.121177802944507,31
3.121212121212121,314
3.1212435233160623,21
3.12124849939976,35
3.1212553495007134,29
3.1212653778558876,21
3.1212814645308926,70
3.1212938005390836,28
3.121311475409836,126
3.1213282247765006,30
3.1213389121338913,61
3.121351766513057,35
3.121359223300971,29
3.1213640922768304,31
3.121387283236994,206
3.121412803532009,25
3.121418826739427,41
3.1214285714285714,32
3.1214361140443505,30
3.1214470284237725,72
3.1214574898785425,25
3.1214642262895174,34
3.121472392638037,32
3.121495327102804,150
3.121516164994426,27
3.121522693997072,28
3.121535181236674,68
3.1215469613259668,34
3.121552604698672,27
3.1215686274509804,137
3.1215880893300247,31
3.1215970961887476,34
